run,learning_rate,gamma,n_steps,ent_coef,vf_coef,net_arch,mean_ep_reward,std_ep_reward,max_ep_reward,n_episodes,train_time_s,batch_size,n_epochs,clip_range
0,0.0003,0.99,2048,0.01,0.5,"[128, 128]",293.72,34.58,381.43,1204,886.6,64,10,0.2
1,0.001,0.99,512,0.01,0.5,"[128, 128]",890.86,232.78,1068.0,1200,878.2,64,10,0.2
2,0.0003,0.95,1024,0.01,0.5,"[128, 128]",213.82,113.7,412.83,1201,865.7,64,10,0.2
3,0.0003,0.99,2048,0.01,0.5,"[128, 128]",257.74,60.59,360.0,1204,867.8,64,10,0.1
4,0.0003,0.99,2048,0.01,0.5,"[128, 128]",296.26,36.9,375.6,1204,869.4,64,10,0.3
5,0.0003,0.99,1024,0.05,0.5,"[128, 128]",228.57,33.82,342.0,1200,863.4,64,10,0.2
6,0.0003,0.99,1024,0.0,0.5,"[128, 128]",264.98,84.74,414.87,1201,864.6,64,10,0.2
7,0.0003,0.99,2048,0.01,0.5,"[256, 256, 128]",289.1,37.61,379.4,1204,762.6,128,5,0.2
8,0.0003,0.99,1024,0.01,1.0,"[128, 128]",291.35,58.48,437.1,1201,874.1,64,10,0.2
9,0.0001,0.99,2048,0.01,0.5,"[128, 128]",247.58,60.68,406.77,1205,1072.8,64,20,0.2
