run,learning_rate,gamma,hidden_sizes,normalize_returns,entropy_coef,grad_clip,mean_ep_reward,std_ep_reward,max_ep_reward,n_episodes,train_time_s
0,0.001,0.99,"[128, 128]",TRUE,0.01,1,172.36,52.88,331.6,2000,1090.5
1,0.0005,0.99,"[128, 128]",TRUE,0.01,1,147.57,51.22,311.3,2000,1076.8
2,0.001,0.99,"[128, 128]",FALSE,0.01,1,191.64,61.94,355.4,2000,1072.7
3,0.001,0.99,"[128, 128]",TRUE,0.05,1,173.89,70.3,377.2,2000,1074
4,0.001,0.95,"[128, 128]",TRUE,0,1,208.8,50.69,362.8,2000,1069.8
5,0.0005,0.99,"[256, 256, 128]",TRUE,0.01,0.5,156.77,56.34,322.3,2000,1198.6
6,0.001,0.99,[512],TRUE,0.01,1,197.33,53.37,365.9,2000,977.2
7,0.001,0.9,"[128, 128]",TRUE,0.01,1,210.65,36.98,376.5,2000,1066.1
8,0.0001,0.99,"[128, 128]",TRUE,0.01,1,131.74,56,273.2,2000,1092.2
9,0.001,0.99,"[128, 64]",TRUE,0.02,,156.54,52.84,346.2,2000,1074
